genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Polyangium	Bacteria	6	3563	1	70.87	82.97	1	1	5	1	nan	both coherent	22
Polynucleobacter	Bacteria	31	465	2	62.86	77.58	0	1	31	0	0.0	RaGCAn split, GTDB one genus	43
Pontibacillus	Bacteria	7	1161	1	66.39	70.77	0	2	7	0	0.0	RaGCAn one bin, GTDB splits	6
Pontibacter	Bacteria	46	1081	1	70.98	75.00	1	1	44	2	nan	both coherent	116
Pontivivens	Bacteria	4	1427	1	70.81	73.27	0	1	4	0	nan	both coherent	5
Pontixanthobacter	Bacteria	5	1454	1	76.54	77.63	0	1	5	0	nan	both coherent	5
Porphyromonas	Bacteria	21	124	10	54.04	60.92	1	2	20	1	0.0914	both split	15
Poseidonibacter	Bacteria	4	1446	1	74.85	79.29	0	1	4	0	nan	both coherent	5
Prauserella	Bacteria	15	1686	1	70.73	78.29	3	4	15	0	0.0	RaGCAn one bin, GTDB splits	106
Prescottella	Bacteria	5	2406	1	81.84	85.02	0	1	5	0	nan	both coherent	8
Prevotella	Bacteria	36	210	4	59.10	69.87	1	2	31	5	0.1985	both split	28
Priestia	Bacteria	10	685	3	59.71	68.28	3	5	10	0	0.5055	both split	48
Primorskyibacter	Bacteria	4	1599	1	69.23	78.73	1	2	4	0	0.0	RaGCAn one bin, GTDB splits	5
Promicromonospora	Bacteria	13	1900	1	81.31	84.51	0	1	11	2	nan	both coherent	114
Propionibacterium	Bacteria	5	770	1	66.93	72.66	0	1	5	0	nan	both coherent	5
Propioniciclava	Bacteria	5	618	2	63.78	69.26	0	1	5	0	0.0	RaGCAn split, GTDB one genus	5
Propionivibrio	Bacteria	4	1219	1	71.67	72.92	0	1	3	1	nan	both coherent	5
Prosthecobacter	Bacteria	7	1455	1	67.23	73.20	0	1	6	1	nan	both coherent	12
Prosthecochloris	Bacteria	4	966	1	67.98	70.71	0	1	4	0	nan	both coherent	4
Proteus	Bacteria	11	2226	1	86.00	91.98	21	1	11	0	nan	both coherent	10
Providencia	Bacteria	17	1725	1	81.21	85.10	5	1	17	0	nan	both coherent	99
Pseudaeromonas	Bacteria	4	1466	1	70.54	75.20	0	1	3	1	nan	both coherent	5
Pseudalkalibacillus	Bacteria	4	1702	1	72.23	74.83	0	1	4	0	nan	both coherent	5
Pseudanabaena	Bacteria	7	1794	1	78.17	83.39	1	1	7	0	nan	both coherent	8
Pseudaquabacterium	Bacteria	4	1202	1	67.13	70.45	0	1	4	0	nan	both coherent	7
Pseudarthrobacter	Bacteria	27	1317	1	77.41	82.68	5	1	16	11	nan	both coherent	42
Pseudidiomarina	Bacteria	24	833	1	68.28	75.43	3	1	23	1	nan	both coherent	16
