genus	n	not_in_gtdb	bins	gtdb_genera	ari	identical
Marivita	4	0	1	1	nan	1
Marivivens	4	0	1	2	0.0	0
Martelella	8	0	1	1	nan	1
Martinezella	9	0	1	1	nan	1
Massilia	51	2	2	4	-0.0943	0
Mediterraneibacter	7	3	1	3	0.0	0
Megasphaera	16	0	3	2	-0.1399	0
Meiothermus	7	0	1	1	nan	1
Meridianimarinicoccus	4	0	1	1	nan	1
Mesobacillus	12	0	1	4	0.0	0
Mesomycoplasma	11	0	6	3	0.3605	0
Mesonia	11	0	1	1	nan	1
Mesoplasma	13	0	3	4	0.8082	0
Mesorhizobium	64	3	1	10	0.0	0
Metabacillus	25	1	2	5	0.738	0
Metallosphaera	5	0	1	1	nan	1
Metamycoplasma	18	0	5	2	0.0767	0
Metapseudomonas	6	1	1	1	nan	1
Methanimicrococcus	4	0	1	1	nan	1
Methanobacterium	17	4	4	6	0.8411	0
Methanobrevibacter	16	0	5	8	0.8532	0
Methanocalculus	4	1	1	1	nan	1
Methanocaldococcus	8	0	1	1	nan	1
Methanococcoides	8	0	1	1	nan	1
Methanococcus	4	1	2	2	1.0	0
Methanocorpusculum	5	0	1	1	nan	1
Methanoculleus	16	0	1	2	0.0	0
Methanofollis	6	0	1	1	nan	1
Methanohalophilus	6	0	1	1	nan	1
Methanolobus	10	0	1	1	nan	1
Methanosarcina	15	2	1	2	0.0	0
Methanospirillum	4	0	2	1	0.0	0
Methanothermobacter	5	1	1	2	0.0	0
Methylobacillus	5	3	1	1	nan	1
Methylobacter	6	0	1	3	0.0	0
Methylobacterium	59	3	1	1	nan	1
Methylocapsa	4	0	1	1	nan	1
Methyloceanibacter	5	0	1	1	nan	1
Methylocystis	11	0	1	1	nan	1
Methylomonas	16	0	1	1	nan	1
Methylophaga	9	0	1	1	nan	1
Methylophilus	7	0	1	1	nan	1
Methylopila	5	0	1	1	nan	1
Methylorubrum	8	3	1	1	nan	1
Microbacterium	172	13	3	1	0.0	0
Microbispora	12	0	1	1	nan	1
Microbulbifer	32	1	1	1	nan	1
Microcella	9	0	1	1	nan	1
