# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Beijerinckia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Beijerinckia,Beijerinckia
A	Bernardetia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Bernardetia,Bernardetia
A	Berryella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Berryella,Berryella
A	Bisbaumannia	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Blastochloris	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Blastopirellula	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Blattabacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Bombiscardovia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Bombiscardovia,Bombiscardovia
A	Borborobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudaminobacter,Pseudaminobacter
A	Botrimarina	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Boudabousia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Bowdeniella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Bowdeniella,Bowdeniella
A	Brakhagea	Bacteria	3	0	1			not scored; fewer than two GTDB-classified genomes		
A	Branchiibius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Branchiibius,Branchiibius
A	Brasilonema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Brasilonema,Brasilonema
A	Brassicibacter	Bacteria	2	1	2			not scored; fewer than two GTDB-classified genomes		
A	Bremerella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Breznakia	Bacteria	2	1	2			not scored; fewer than two GTDB-classified genomes		
A	Brochothrix	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Brochothrix,Brochothrix
A	Brooklawnia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Brooklawnia,Brooklawnia
A	Brumicola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Buchananella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Buchananella,Buchananella
A	Budvicia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Budvicia,Budvicia
A	Butyrivibrio	Bacteria	3	3	2	2	1	flagged	0.0	
A	Bythopirellula	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Bythopirellula,Bythopirellula
