# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Pseudomarimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudomarimonas,Pseudomarimonas
A	Pseudomyxococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Myxococcus,Myxococcus
A	Pseudopedobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudopedobacter,Pseudopedobacter
A	Pseudoramibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pseudorhodoferax	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudorhodoferax,Pseudorhodoferax
A	Pseudoroseicyclus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Pseudoroseicyclus,Pseudoroseicyclus_A
A	Pseudoroseomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudoroseomonas,Pseudoroseomonas
A	Pseudoscardovia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudoscardovia,Pseudoscardovia
A	Pseudoselenomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Selenomonas_A,Selenomonas_A
A	Pseudosulfitobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudosulfitobacter,Pseudosulfitobacter
A	Pseudotamlana	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pseudothioclava	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Psittacicella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Psychrilyobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Psychrilyobacter,Psychrilyobacter
A	Psychromarinibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Psychromarinibacter,Psychromarinibacter
A	Pullulanibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pullulanibacillus,Pullulanibacillus
A	Pumilibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pumilibacter,Pumilibacter
A	Puniceibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pusillimonas	Bacteria	3	3	1	1	2	missed	0.0	
A	Pyramidobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pyramidobacter,Pyramidobacter
A	Quadrisphaera	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Quadrisphaera,Quadrisphaera
A	Quyinboa	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Racemicystis	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Radiobacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Radiobacillus,Radiobacillus
A	Raineyella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Raineyella,Raineyella
A	Raoultibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rarobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rarobacter,Rarobacter
A	Rhabdothermincola	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Rhabdothermincola_A,Rhabdothermincola
A	Rhizomicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhizomicrobium,Rhizomicrobium
A	Rhodobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodobium,Rhodobium
A	Rhodoblastus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodoblastus,Rhodoblastus
A	Rhodocyclus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rhodocytophaga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodocytophaga,Rhodocytophaga
A	Rhodoglobus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodoglobus,Rhodoglobus
A	Rhodoligotrophos	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rhodoluna	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodoluna,Rhodoluna
A	Rhodomicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rhodonellum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodonellum,Rhodonellum
A	Rhodosalinus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodosalinus,Rhodosalinus
A	Rhodospirillum	Bacteria	2	1	2			not scored; fewer than two GTDB-classified genomes		
A	Rhodothermus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rhodovarius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodovarius,Rhodovarius
A	Rhodovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodovibrio,Rhodovibrio
A	Richelia	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Richelia,FACHB-800
A	Rickettsiella	Bacteria	3	3	2	2	2	agree-divide	1.0	
A	Riemerella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Robbsia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Robbsia,Robbsia
A	Roseibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Roseibacillus,Roseibacillus
A	Roseicella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Roseiconus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Stieleria,Stieleria
A	Roseimaritima	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rosettibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rosettibacter,Rosettibacter
A	Rosistilla	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Rubinisphaera	Bacteria	3	3	2	2	1	flagged	0.0	
A	Rudanella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rudanella,Rudanella
A	Rugosimonospora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rugosimonospora,Rugosimonospora
A	Ruicaihuangia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ruminococcoides	Bacteria	2	2	2	2	1	not scored; two-genome comparison (differ)		Ruminococcoides,Ruminococcoides
A	Rummeliibacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ruoffia	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Ruthenibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ruthenibacterium,Ruthenibacterium
A	Sabulicella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Saccharicrinis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Sagittula	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Salibaculum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Salibaculum,Salibaculum
A	Salinarchaeum	Archaea	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Salinibacillus	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Salinibacillus,Salinibacillus
A	Salinibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodoglobus,Rhodoglobus
A	Salinibaculum	Archaea	3	3	1	1	1	agree-whole	nan	
A	Salinifilum	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Salinirubellus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Salinirubellus,Salinirubellus
A	Salirhabdus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Salirhabdus,Salirhabdus_A
A	Salisediminibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Salisediminibacterium,Salisediminibacterium
A	Salmonella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Salmonella,Salmonella
A	Salsuginibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Salsuginibacillus,Salsuginibacillus
A	Sandaracinobacteroides	Bacteria	3	3	1	1	2	missed	0.0	
A	Savagea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Savagea,Savagea
A	Scardovia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Scardovia,Scardovia
A	Schinkia	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Schleiferilactobacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Schlesneria	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Schlesneria,Schlesneria
A	Schumannella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Schumannella,Schumannella
A	Sciscionella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sciscionella,Sciscionella
A	Scopulibacillus	Bacteria	3	3	1	1	2	missed	0.0	
A	Scrofimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Scrofimicrobium,Scrofimicrobium
A	Sedimentibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Sedimenticola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Sedimentisphaera	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sedimentisphaera,Sedimentisphaera
A	Sediminicola	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Sediminicola,HQA918
A	Sediminispirochaeta	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sediminispirochaeta,Sediminispirochaeta
A	Segetibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Segetibacter,Segetibacter
A	Segniliparus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Segniliparus,Segniliparus
A	Sellimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Senegalimassilia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Senegalimassilia,Senegalimassilia
A	Seohaeicola	Bacteria	3	3	1	1	2	missed	0.0	
A	Seongchinamella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halioglobus,Halioglobus
A	Serinibacter	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Litorihabitans,Serinibacter
A	Serpentinimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Sharpea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sharpea,Sharpea
A	Shimazuella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Shimwellia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Shimwellia,Shimwellia
A	Siccibacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Siccirubricoccus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Silanimonas	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Silicimonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Silicimonas,JAVJUV01
A	Silvania	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Enterobacter,Enterobacter
A	Silvanigrella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Silvanigrella,Silvanigrella
A	Silvibacterium	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Silvibacterium,Silvibacterium
A	Sinimarinibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Sinisalibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sinisalibacter,Sinisalibacter
A	Sinobacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sinobacterium,Sinobacterium
A	Sinosporangium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sinosporangium,Sinosporangium
A	Siphonobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Siphonobacter,Siphonobacter
A	Sneathia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sneathia,Sneathia
A	Snodgrassella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Snuella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Snuella,Snuella
A	Sodalis-like	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		GCA-001602625,G964059955
A	Soehngenia	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Solibaculum	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Solibaculum_A,Solibaculum
A	Solicola	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		JAURVT01,Solicola
A	Soonwooa	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Spartinivicinus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Spectribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Spectribacter,Spectribacter
A	Sphaerimonospora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sphaerimonospora,Sphaerimonospora
A	Sphaerospermopsis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Spirabiliibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Spirulina	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Spirulina,Spirulina_A
A	Spongiactinospora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Spongiactinospora,Spongiactinospora
A	Sporichthya	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sporichthya,Sporichthya
A	Stagnihabitans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Stagnihabitans,Stagnihabitans
A	Staphylothermus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Staphylothermus,Staphylothermus
A	Streptoalloteichus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Streptoalloteichus,Streptoalloteichus
A	Stygiolobus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Stygiolobus,Stygiolobus
A	Succinivibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Succinivibrio,Succinivibrio
A	Sulfoacidibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sulfoacidibacillus,Sulfoacidibacillus
A	Sulfobacillus	Bacteria	3	3	2	2	2	agree-divide	1.0	
A	Sulfolobus	Archaea	2	2	2	2	2	not scored; two-genome comparison (match)		Sulfolobus,Saccharolobus
A	Sulfuracidifex	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Sulfuracidifex,Sulfuracidifex
A	Sulfuricystis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sulfuricystis,Sulfuricystis
A	Sulfurihydrogenibium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Sulfurisphaera	Archaea	3	3	1	1	1	agree-whole	nan	
A	Suttonella	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Suttonella,Suttonella_A
A	Symmachiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Symmachiella,Symmachiella
A	Synechococcus	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Synechococcus,Synechococcus_D
A	Syntrophotalea	Bacteria	3	3	1	1	2	missed	0.0	
A	Syntrophus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Taklimakanibacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Taklimakanibacter,Taklimakanibacter
A	Tamlana	Bacteria	3	1	1			not scored; fewer than two GTDB-classified genomes		
A	Tannerella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tannerella,Tannerella
A	Tardiphaga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tardiphaga,Tardiphaga
A	Tardisphaera	Archaea	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Taylorella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Taylorella,Taylorella
A	Telluribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Telluribacter,Telluribacter
A	Tenuifilum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tenuifilum,Tenuifilum
A	Tepidanaerobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tepidanaerobacter,Tepidanaerobacter
A	Tepidicella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tepidicella,Tepidicella
A	Tepidiforma	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Terribium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mesorhizobium,Mesorhizobium
A	Terrihabitans	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Flaviflagellibacter,Flaviflagellibacter
A	Terrilactibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Terrilactibacillus,Terrilactibacillus
A	Tersicoccus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Testudinibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chelonobacter,Chelonobacter
A	Thalassobacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thalassobacterium,Thalassobacterium
A	Thalassobaculum	Bacteria	3	3	1	1	2	missed	0.0	
A	Thalassobellus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Thalassoglobus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thalassoglobus,Thalassoglobus
A	Thalassomonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Thaumasiovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thaumasiovibrio,Thaumasiovibrio
A	Thermanaerothrix	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermanaerothrix,Thermanaerothrix
A	Thermanaerovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermanaerovibrio,Thermanaerovibrio
A	Thermithiobacillus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		JBBPCO01,Thermithiobacillus
A	Thermobacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermobacillus,Thermobacillus
A	Thermoclostridium	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Thermoclostridium_A,Thermoclostridium
A	Thermocrispum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermocrispum,Thermocrispum
A	Thermodesulfatator	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Thermodesulfobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Thermofilum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Thermofilum,Thermofilum
A	Thermoflavifilum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermoflavifilum,Thermoflavifilum
A	Thermoflavimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermoflavimicrobium,Thermoflavimicrobium
A	Thermogutta	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Thermohalobaculum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermohalobaculum,Thermohalobaculum
A	Thermoleptolyngbya	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermoleptolyngbya,Thermoleptolyngbya
A	Thermonema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermonema,Thermonema
A	Thermoplasma	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Thermoplasma,Thermoplasma
A	Thermoproteus	Archaea	3	2	1	1	1	not scored; two-genome comparison (match)		Thermoproteus,Thermoproteus
A	Thermosediminibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermosediminibacter,Thermosediminibacter
A	Thermosinus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermosinus,Thermosinus
A	Thermosphaera	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Thermosphaera,Thermosphaera
A	Thermosulfurimonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Thermosulfurimonas,Thermosulfurimonas_A
A	Thermosynechococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thermosynechococcus,Thermosynechococcus
A	Thermosyntropha	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Thermovibrio	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Thermovibrio,Thermovibrio
A	Thiobacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Thiocystis	Bacteria	3	3	1	1	2	missed	0.0	
A	Thiohalocapsa	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thiohalocapsa,Thiohalocapsa
A	Thiohalorhabdus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thiohalorhabdus,Thiohalorhabdus
A	Thiopseudomonas	Bacteria	3	3	1	1	2	missed	0.0	
A	Thiorhodovibrio	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Thorsellia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Thorsellia,Thorsellia
A	Tianweitania	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Tigheibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tigheibacillus,Tigheibacillus
A	Tindallia	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Tindallia,Tindallia
A	Tistrella	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Tistrella,Tistrella
A	Tolumonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Tolypothrix	Bacteria	3	3	1	1	2	missed	0.0	
A	Trabulsiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Trabulsiella,Trabulsiella
A	Tractidigestivibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tractidigestivibacter,Tractidigestivibacter
A	Tranquillimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tranquillimonas,Tranquillimonas
A	Trichlorobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Tropicibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tropicibacter,Tropicibacter
A	Trujillonella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Trujillonella,Trujillonella
A	Tuanshanicoccus	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Tumidithrix	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tumidithrix,Tumidithrix
A	Tundrisphaera	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Tundrisphaera,Tundrisphaera
A	Turicibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ulvibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ulvibacter,Ulvibacter
A	Umezawaea	Bacteria	3	3	1	1	2	missed	0.0	
A	Urechidicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Urechidicola,Urechidicola
A	Urinicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Urinicoccus,Urinicoccus
A	Ursidibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ursidibacter,Ursidibacter
A	Uruburuella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Neisseria,Neisseria
A	Usitatibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Usitatibacter,Usitatibacter
A	Verminephrobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Acidovorax,Acidovorax
A	Veronia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Veronia,Veronia
A	Verticiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Verticiella,Verticiella
A	Vescimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Victivallis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Victivallis,Victivallis
A	Virgisporangium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Viridibacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Vitiosangium	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Vitreoscilla	Bacteria	3	3	2	2	2	agree-divide	1.0	
A	Volucribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Volucribacter,Volucribacter
A	Vulcaniibacterium	Bacteria	3	3	1	1	3	missed	0.0	
A	Waltera	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Acetatifactor,Acetatifactor
A	Weizmannia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Weizmannia,Weizmannia
A	Wenjunlia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Wenjunlia,Wenjunlia
A	Wenxinia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Wenxinia,Wenxinia
A	Williamsoniiplasma	Bacteria	3	3	2	2	1	flagged	0.0	
A	Winogradskya	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Actinoplanes,Actinoplanes
A	Winslowiella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Wocania	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Wocania_A,Wocania_A
A	Wohlfahrtiimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Wolbachia	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Xanthocytophaga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Xanthocytophaga,Xanthocytophaga
A	Xaviernesmea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Xaviernesmea,Xaviernesmea
A	Xenophilus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Xenophilus,Xenophilus
A	Xylella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Xylella,Xylella
A	Xylocopilactobacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Xylocopilactobacillus,Xylocopilactobacillus
A	Xylophilus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Xylophilus,Xylophilus
A	Yaniella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Yaniella,Yaniella
A	Yeosuana	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Yeosuana,Yeosuana
A	Yinghuangia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Youngiibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Youngiibacter,Youngiibacter
A	Zavarzinia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Zeimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Zeimonas,Zeimonas
A	Zestomonas	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Aquipseudomonas,Aquipseudomonas
A	Zhengella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Zhengella,Zhengella
A	Zhouia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Zhouia,Zhouia
A	Zongyangia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Zongyangia,Zongyangia
A	Zooshikella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Zooshikella,Zooshikella
A	Zwartia	Bacteria	3	3	1	1	1	agree-whole	nan	
# Part B: the 8 genomes (7 genera) that the program set apart and that GTDB R232 does not classify. Not checked further.
part	genus	accession	organism_name	all_bins_in_genus
B	Aurantivibrio	GCF_054767315.1	Aurantivibrio infirmus	2
B	Aurantivibrio	GCF_055392955.1	Aurantivibrio plasticivorans	2
B	Brassicibacter	GCF_055378355.1	Brassicibacter thermophilus	2
B	Breznakia	GCF_055378965.1	Breznakia pachnodae	2
B	Cuniculiplasma	GCF_052315355.1	Cuniculiplasma thermophilum	2
B	Flavitalea	GCF_054461535.1	Flavitalea antarctica	2
B	Pasteuria	GCF_056496785.1	Pasteuria ramosa	2
B	Rhodospirillum	GCF_055387715.1	Rhodospirillum centenum	2
